function,mode,fan,temp_c,coolix,xt_frame
Cool,cool,medium,26,0xB25FD0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xEE, 0xBA, 0xAA, 0xBA, 0xEE, 0xEE, 0xFE}"
Cool,cool,medium,27,0xB25F90,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAE, 0xAE, 0xAA, 0xBB, 0xEE, 0xEE, 0xFE}"
Cool,cool,medium,28,0xB25F80,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAE, 0xAA, 0xEA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,medium,29,0xB25FA0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAE, 0xAB, 0xAA, 0xEB, 0xEE, 0xEE, 0xFE}"
Cool,cool,medium,30,0xB25FB0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAE, 0xBB, 0xAA, 0xAE, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,17,0xB23F00,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAA, 0xAA, 0xEE, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,18,0xB23F10,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xAA, 0xAB, 0xBA, 0xBB, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,19,0xB23F30,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEA, 0xAE, 0xEA, 0xAE, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,20,0xB23F20,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEA, 0xAA, 0xBA, 0xEB, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,21,0xB23F60,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xBA, 0xAB, 0xEA, 0xEA, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,22,0xB23F70,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xBA, 0xBB, 0xAA, 0xAB, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,23,0xB23F50,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xBA, 0xAE, 0xEA, 0xBA, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,24,0xB23F40,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xBA, 0xAA, 0xBA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,25,0xB23FC0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEE, 0xAA, 0xAA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,high,26,0xB23FD0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEE, 0xBA, 0xAA, 0xBA, 0xEE, 0xEE, 0xFE}"
